event_date,fighter_a,fighter_b
2005-08-20,Randy Couture,Mike van Arsdale
2005-08-20,Tim Sylvia,Tra Telligman
2005-10-03,David Loiseau,Evan Tanner
2005-10-03,Drew Fickett,Josh Koscheck
2005-10-07,Andrei Arlovski,Paul Buentello
2005-10-07,Forrest Griffin,Elvis Sinosic
2005-10-07,Joe Riggs,Chris Lytle
2005-10-07,Jorge Rivera,Dennis Hallman
2005-11-05,Diego Sanchez,Nick Diaz
2005-11-19,Georges St-Pierre,Sean Sherk
2005-11-19,Jeremy Horn,Trevor Prangley
2005-11-19,Matt Hughes,Joe Riggs
2005-11-19,Rich Franklin,Nate Quarry
2006-01-16,Chris Leben,Jorge Rivera
2006-01-16,Stephan Bonnar,James Irvin
2006-02-04,Chuck Liddell,Randy Couture
2006-02-04,Joe Riggs,Nick Diaz
2006-02-04,Renato Sobral,Mike van Arsdale
2006-03-04,Georges St-Pierre,BJ Penn
2006-03-04,Rich Franklin,David Loiseau
2006-04-06,Stephan Bonnar,Keith Jardine
2006-04-15,Jeff Monson,Marcio Cruz
2006-04-15,Sean Sherk,Nick Diaz
2006-04-15,Tim Sylvia,Andrei Arlovski
2006-04-15,Tito Ortiz,Forrest Griffin
2006-05-27,Jeremy Horn,Chael Sonnen
2006-05-27,Matt Hughes,Royce Gracie
2006-05-27,Mike Swick,Joe Riggs
2006-06-28,Jason Lambert,Branden Lee Hinkle
2006-06-28,Jon Fitch,Thiago Alves
2006-06-28,Jonathan Goulet,Luke Cummo
2006-06-28,Josh Koscheck,Dave Menne
2006-06-28,Rashad Evans,Stephan Bonnar
2006-07-08,Joe Stevenson,Yves Edwards
2006-07-08,Joshua Burkman,Josh Neer
2006-07-08,Tim Sylvia,Andrei Arlovski
2006-07-08,Tito Ortiz,Ken Shamrock
2006-08-17,Diego Sanchez,Karo Parisyan
2006-08-17,Joe Riggs,Jason Von Flue
2006-08-17,Josh Koscheck,Jonathan Goulet
2006-08-26,Chuck Liddell,Renato Sobral
2006-08-26,Forrest Griffin,Stephan Bonnar
2006-08-26,Nick Diaz,Josh Neer
2006-09-23,Matt Hughes,BJ Penn
2006-09-23,Mike Swick,David Loiseau
2006-09-23,Rashad Evans,Jason Lambert
2006-10-10,Thiago Alves,John Alessio
2006-10-10,Tito Ortiz,Ken Shamrock
2006-10-14,Sean Sherk,Kenny Florian
2006-11-11,Jorge Rivera,Edwin DeWees
2006-11-11,Matt Serra,Chris Lytle
2006-11-11,Travis Lutter,Patrick Cote
2006-11-18,Brandon Vera,Frank Mir
2006-11-18,Georges St-Pierre,Matt Hughes
2006-11-18,Tim Sylvia,Jeff Monson
2006-12-13,Diego Sanchez,Joe Riggs
2006-12-13,Karo Parisyan,Drew Fickett
2006-12-13,Luigi Fioravanti,Dave Menne
2006-12-13,Marcus Davis,Shonie Carter
2006-12-30,Andrei Arlovski,Marcio Cruz
2006-12-30,Chuck Liddell,Tito Ortiz
2006-12-30,Keith Jardine,Forrest Griffin
2006-12-30,Thiago Alves,Tony DeSouza
2006-12-30,Yushin Okami,Rory Singer
2007-01-25,Hermes Franca,Spencer Fisher
2007-01-25,Nate Marquardt,Dean Lister
2007-02-03,Anderson Silva,Travis Lutter
2007-02-03,Patrick Cote,Scott Smith
2007-02-03,Terry Martin,Jorge Rivera
2007-03-03,Jason Lambert,Renato Sobral
2007-03-03,Jon Fitch,Luigi Fioravanti
2007-03-03,Matt Hughes,Chris Lytle
2007-03-03,Randy Couture,Tim Sylvia
2007-03-03,Rich Franklin,Jason MacDonald
2007-04-05,Joe Stevenson,Melvin Guillard
2007-04-07,Josh Koscheck,Diego Sanchez
2007-04-07,Kendall Grove,Alan Belcher
2007-04-07,Luke Cummo,Josh Haynes
2007-04-07,Marcus Davis,Pete Spratt
2007-04-07,Matt Serra,Georges St-Pierre
2007-04-07,Yushin Okami,Mike Swick
2007-04-21,Cheick Kongo,Assuerio Silva
2007-04-21,Michael Bisping,Elvis Sinosic
2007-05-26,Kalib Starnes,Chris Leben
2007-05-26,Karo Parisyan,Joshua Burkman
2007-05-26,Terry Martin,Ivan Salaverry
2007-05-26,Wilson Gouveia,Carmelo Marrero
2007-06-12,Forrest Petz,Luigi Fioravanti
2007-06-12,Spencer Fisher,Sam Stout
2007-06-16,Ed Herman,Scott Smith
2007-06-16,Jason MacDonald,Rory Singer
2007-06-16,Rich Franklin,Yushin Okami
2007-06-16,Tyson Griffin,Clay Guida
2007-06-23,BJ Penn,Jens Pulver
2007-07-07,Anderson Silva,Nate Marquardt
2007-07-07,Sean Sherk,Hermes Franca
2007-08-25,Frank Mir,Antoni Hardonk
2007-08-25,Georges St-Pierre,Josh Koscheck
2007-08-25,Joe Stevenson,Kurt Pellegrino
2007-08-25,Patrick Cote,Kendall Grove
2007-08-25,Randy Couture,Gabriel Gonzaga
2007-08-25,Renato Sobral,David Heath
2007-09-08,Cheick Kongo,Mirko Filipovic
2007-09-08,Michael Bisping,Matt Hamill
2007-09-08,Quinton Jackson,Dan Henderson
2007-09-19,Chris Leben,Terry Martin
2007-09-19,Dustin Hazelett,Jonathan Goulet
2007-09-19,Kenny Florian,Din Thomas
2007-09-19,Nate Quarry,Pete Sell
2007-09-19,Thiago Alves,Kuniyoshi Hironaka
2007-09-22,Jon Fitch,Diego Sanchez
2007-09-22,Keith Jardine,Chuck Liddell
2007-09-22,Tyson Griffin,Thiago Tavares
2007-10-20,Alan Belcher,Kalib Starnes
2007-10-20,Anderson Silva,Rich Franklin
2007-10-20,Joshua Burkman,Forrest Petz
2007-10-20,Stephan Bonnar,Eric Schafer
2007-10-20,Tim Sylvia,Brandon Vera
2007-10-20,Yushin Okami,Jason MacDonald
2007-11-17,Ed Herman,Joe Doerksen
2007-11-17,Frankie Edgar,Spencer Fisher
2007-11-17,Rashad Evans,Michael Bisping
2007-11-17,Thiago Alves,Chris Lytle
2007-11-17,Thiago Silva,Houston Alexander
2007-12-08,Roger Huerta,Clay Guida
2007-12-29,Chuck Liddell,Wanderlei Silva
2007-12-29,Georges St-Pierre,Matt Hughes
2007-12-29,Rich Clementi,Melvin Guillard
2007-12-29,Roan Carneiro,Tony DeSouza
2008-01-19,BJ Penn,Joe Stevenson
2008-01-19,Jorge Rivera,Kendall Grove
2008-01-19,Marcus Davis,Jess Liaudin
2008-01-19,Wilson Gouveia,Jason Lambert
2008-01-23,Gray Maynard,Dennis Siver
2008-01-23,Jeremy Stephens,Cole Miller
2008-01-23,Mike Swick,Joshua Burkman
2008-01-23,Nate Diaz,Alvin Robinson
2008-01-23,Patrick Cote,Drew McFedries
2008-02-02,Marvin Eastman,Terry Martin
2008-02-02,Nate Marquardt,Jeremy Horn
2008-02-02,Tyson Griffin,Gleison Tibau
2008-03-01,Anderson Silva,Dan Henderson
2008-03-01,Andrei Arlovski,Jake O'Brien
2008-03-01,Chris Leben,Alessio Sakara
2008-03-01,Heath Herring,Cheick Kongo
2008-03-01,Josh Koscheck,Dustin Hazelett
2008-03-01,Luigi Fioravanti,Luke Cummo
2008-03-01,Yushin Okami,Evan Tanner
2008-04-02,Gray Maynard,Frankie Edgar
2008-04-02,James Irvin,Houston Alexander
2008-04-02,Josh Neer,Din Thomas
2008-04-02,Kenny Florian,Joe Lauzon
2008-04-02,Nate Diaz,Kurt Pellegrino
2008-04-02,Thiago Alves,Karo Parisyan
2008-04-19,Georges St-Pierre,Matt Serra
2008-04-19,Jason MacDonald,Joe Doerksen
2008-04-19,Jonathan Goulet,Kuniyoshi Hironaka
2008-04-19,Michael Bisping,Charles McCarthy
2008-04-19,Nate Quarry,Kalib Starnes
2008-04-19,Rich Clementi,Sam Stout
2008-04-19,Rich Franklin,Travis Lutter
2008-05-24,BJ Penn,Sean Sherk
2008-05-24,Lyoto Machida,Tito Ortiz
2008-05-24,Rich Clementi,Terry Etim
2008-05-24,Wanderlei Silva,Keith Jardine
2008-06-07,Antoni Hardonk,Eddie Sanchez
2008-06-07,Fabricio Werdum,Brandon Vera
2008-06-07,Martin Kampmann,Jorge Rivera
2008-06-07,Matt Wiman,Thiago Tavares
2008-06-07,Mike Swick,Marcus Davis
2008-06-07,Paul Taylor,Jess Liaudin
2008-06-07,Thales Leites,Nate Marquardt
2008-06-07,Thiago Alves,Matt Hughes
2008-06-21,Dean Lister,Jeremy Horn
2008-06-21,Diego Sanchez,Luigi Fioravanti
2008-06-21,Drew McFedries,Marvin Eastman
2008-06-21,Dustin Hazelett,Joshua Burkman
2008-06-21,Kendall Grove,Evan Tanner
2008-06-21,Spencer Fisher,Jeremy Stephens
2008-07-05,Cole Miller,Jorge Gurgel
2008-07-05,Forrest Griffin,Quinton Jackson
2008-07-05,Joe Stevenson,Gleison Tibau
2008-07-05,Josh Koscheck,Chris Lytle
2008-07-05,Melvin Guillard,Dennis Siver
2008-07-05,Patrick Cote,Ricardo Almeida
2008-07-05,Tyson Griffin,Marcus Aurelio
2008-07-19,Anderson Silva,James Irvin
2008-07-19,Frankie Edgar,Hermes Franca
2008-08-09,Demian Maia,Jason MacDonald
2008-08-09,Georges St-Pierre,Jon Fitch
2008-08-09,Kenny Florian,Roger Huerta
2008-08-09,Rob Emerson,Manvel Gamburyan
2008-08-09,Tamdan McCrory,Luke Cummo
2008-09-06,Jason MacDonald,Jason Lambert
2008-09-06,Kurt Pellegrino,Thiago Tavares
2008-09-06,Nate Marquardt,Martin Kampmann
2008-09-06,Rashad Evans,Chuck Liddell
2008-09-06,Rich Franklin,Matt Hamill
2008-09-17,Alan Belcher,Ed Herman
2008-09-17,Clay Guida,Mac Danzig
2008-09-17,Eric Schafer,Houston Alexander
2008-09-17,Nate Diaz,Josh Neer
2008-09-17,Wilson Gouveia,Ryan Jensen
2008-10-18,Chris Lytle,Paul Taylor
2008-10-18,Keith Jardine,Brandon Vera
2008-10-18,Luiz Cane,Rameau Thierry Sokoudjou
2008-10-18,Michael Bisping,Chris Leben
2008-10-18,Terry Etim,Sam Stout
2008-10-25,Anderson Silva,Patrick Cote
2008-10-25,Gray Maynard,Rich Clementi
2008-10-25,Hermes Franca,Marcus Aurelio
2008-10-25,Pete Sell,Joshua Burkman
2008-10-25,Sean Sherk,Tyson Griffin
2008-10-25,Thales Leites,Drew McFedries
2008-10-25,Thiago Alves,Josh Koscheck
2008-11-15,Aaron Riley,Jorge Gurgel
2008-11-15,Brock Lesnar,Randy Couture
2008-11-15,Demian Maia,Nate Quarry
2008-11-15,Dustin Hazelett,Tamdan McCrory
2008-11-15,Kenny Florian,Joe Stevenson
2008-11-15,Mark Bocek,Alvin Robinson
2008-12-10,Justin McCully,Eddie Sanchez
2008-12-10,Mike Swick,Jonathan Goulet
2008-12-13,Anthony Johnson,Kevin Burns
2008-12-13,Wilson Gouveia,Jason MacDonald
2008-12-27,Frank Mir,Antonio Rodrigo Nogueira
2008-12-27,Quinton Jackson,Wanderlei Silva
2008-12-27,Rashad Evans,Forrest Griffin
2008-12-27,Yushin Okami,Dean Lister
2009-01-17,Dan Henderson,Rich Franklin
2009-01-17,Dennis Siver,Nate Mohr
2009-01-17,Marcus Davis,Chris Lytle
2009-01-17,Rousimar Palhares,Jeremy Horn
2009-01-31,Clay Guida,Nate Diaz
2009-01-31,Georges St-Pierre,BJ Penn
2009-01-31,Jake O'Brien,Christian Wellisch
2009-01-31,Jon Fitch,Akihiro Gono
2009-01-31,Lyoto Machida,Thiago Silva
2009-01-31,Thiago Tavares,Manvel Gamburyan
2009-02-07,Anthony Johnson,Luigi Fioravanti
2009-02-07,Gleison Tibau,Rich Clementi
2009-02-07,Joe Lauzon,Jeremy Stephens
2009-02-07,Josh Neer,Mac Danzig
2009-02-07,Kurt Pellegrino,Rob Emerson
2009-02-21,Demian Maia,Chael Sonnen
2009-02-21,Diego Sanchez,Joe Stevenson
2009-02-21,Nate Marquardt,Wilson Gouveia
2009-03-07,Gray Maynard,Jim Miller
2009-03-07,Kendall Grove,Jason Day
2009-03-07,Matt Brown,Pete Sell
2009-03-07,Quinton Jackson,Keith Jardine
2009-03-07,Shane Carwin,Gabriel Gonzaga
2009-04-01,Gleison Tibau,Jeremy Stephens
2009-04-18,Anderson Silva,Thales Leites
2009-04-18,Cheick Kongo,Antoni Hardonk
2009-04-18,Ed Herman,David Loiseau
2009-04-18,Mark Bocek,David Bielkheden
2009-04-18,Mauricio Rua,Chuck Liddell
2009-04-18,Nate Quarry,Jason MacDonald
2009-04-18,Sam Stout,Matt Wiman
2009-05-23,Chael Sonnen,Dan Miller
2009-05-23,Frankie Edgar,Sean Sherk
2009-05-23,Lyoto Machida,Rashad Evans
2009-05-23,Matt Hughes,Matt Serra
2009-06-13,Cain Velasquez,Cheick Kongo
2009-06-13,Dan Hardy,Marcus Davis
2009-06-13,Dennis Siver,Dale Hartt
2009-06-13,Mike Swick,Ben Saunders
2009-06-13,Rich Franklin,Wanderlei Silva
2009-06-13,Spencer Fisher,Caol Uno
2009-06-13,Terry Etim,Justin Buchholz
2009-06-20,Chris Lytle,Kevin Burns
2009-06-20,Diego Sanchez,Clay Guida
2009-06-20,Joe Stevenson,Nate Diaz
2009-06-20,Melvin Guillard,Gleison Tibau
2009-07-11,Brock Lesnar,Frank Mir
2009-07-11,Dan Henderson,Michael Bisping
2009-07-11,Georges St-Pierre,Thiago Alves
2009-07-11,Jim Miller,Mac Danzig
2009-07-11,Jon Jones,Jake O'Brien
2009-07-11,Mark Coleman,Stephan Bonnar
2009-07-11,Shannon Gugerty,Matt Grice
2009-08-08,Aaron Riley,Shane Nelson
2009-08-08,Alessio Sakara,Thales Leites
2009-08-08,Anderson Silva,Forrest Griffin
2009-08-08,BJ Penn,Kenny Florian
2009-08-08,George Sotiropoulos,George Roop
2009-08-08,Kurt Pellegrino,Josh Neer
2009-08-08,Ricardo Almeida,Kendall Grove
2009-08-29,Antonio Rodrigo Nogueira,Randy Couture
2009-08-29,Brandon Vera,Krzysztof Soszynski
2009-08-29,Nate Marquardt,Demian Maia
2009-08-29,Thiago Silva,Keith Jardine
2009-09-16,Gray Maynard,Roger Huerta
2009-09-16,Jeremy Stephens,Justin Buchholz
2009-09-16,Nate Diaz,Melvin Guillard
2009-09-16,Nate Quarry,Tim Credeur
2009-09-19,Eliot Marshall,Jason Brilz
2009-09-19,Josh Koscheck,Frank Trigg
2009-09-19,Junior Dos Santos,Mirko Filipovic
2009-09-19,Rafael Dos Anjos,Rob Emerson
2009-09-19,Tomasz Drwal,Drew McFedries
2009-09-19,Tyson Griffin,Hermes Franca
2009-09-19,Vitor Belfort,Rich Franklin
2009-10-24,Anthony Johnson,Yoshiyuki Yoshida
2009-10-24,Chael Sonnen,Yushin Okami
2009-10-24,Gleison Tibau,Josh Neer
2009-10-24,Joe Stevenson,Spencer Fisher
2009-10-24,Jorge Rivera,Rob Kimmons
2009-10-24,Lyoto Machida,Mauricio Rua
2009-10-24,Pat Barry,Antoni Hardonk
2009-10-24,Ryan Bader,Eric Schafer
2009-11-14,Dan Hardy,Mike Swick
2009-11-14,Dennis Siver,Paul Kelly
2009-11-14,John Hathaway,Paul Taylor
2009-11-14,Michael Bisping,Denis Kang
2009-11-14,Randy Couture,Brandon Vera
2009-11-14,Terry Etim,Shannon Gugerty
2009-11-21,Amir Sadollah,Phil Baroni
2009-11-21,Ben Saunders,Marcus Davis
2009-11-21,Forrest Griffin,Tito Ortiz
2009-11-21,George Sotiropoulos,Jason Dent
2009-11-21,Josh Koscheck,Anthony Johnson
2009-11-21,Kendall Grove,Jake Rosholt
2009-12-05,John Howard,Dennis Hallman
2009-12-05,Matt Hamill,Jon Jones
2009-12-12,Alan Belcher,Wilson Gouveia
2009-12-12,BJ Penn,Diego Sanchez
2009-12-12,Frank Mir,Cheick Kongo
2009-12-12,Kenny Florian,Clay Guida
2009-12-12,Matt Wiman,Shane Nelson
2009-12-12,Stefan Struve,Paul Buentello
2009-12-12,TJ Grant,Kevin Burns
2010-01-02,Jim Miller,Duane Ludwig
2010-01-02,Mark Munoz,Ryan Jensen
2010-01-02,Rashad Evans,Thiago Silva
2010-01-02,Sam Stout,Joe Lauzon
2010-01-11,Aaron Simpson,Tom Lawlor
2010-01-11,Amir Sadollah,Brad Blackburn
2010-01-11,Evan Dunham,Efrain Escudero
2010-01-11,Gray Maynard,Nate Diaz
2010-01-11,Rafael Dos Anjos,Kyle Bradley
2010-02-06,Chael Sonnen,Nate Marquardt
2010-02-06,Demian Maia,Dan Miller
2010-02-06,Mac Danzig,Justin Buchholz
2010-02-06,Matt Serra,Frank Trigg
2010-02-06,Paulo Thiago,Mike Swick
2010-02-06,Randy Couture,Mark Coleman
2010-02-06,Rob Emerson,Phillipe Nover
2010-02-20,Cain Velasquez,Antonio Rodrigo Nogueira
2010-02-20,Chris Lytle,Brian Foster
2010-02-20,George Sotiropoulos,Joe Stevenson
2010-02-20,Krzysztof Soszynski,Stephan Bonnar
2010-02-20,Mirko Filipovic,Anthony Perosh
2010-02-20,Ryan Bader,Keith Jardine
2010-02-20,Wanderlei Silva,Michael Bisping
2010-05-29,Quinton Jackson,Rashad Evans
2010-06-12,Mirko Filipovic,Pat Barry
2010-09-25,Frank Mir,Mirko Filipovic
2010-11-20,Quinton Jackson,Lyoto Machida
2011-03-19,Mirko Filipovic,Brendan Schaub
2011-05-28,Quinton Jackson,Matt Hamill
2011-08-27,Antonio Rodrigo Nogueira,Brendan Schaub
2011-09-24,Jon Jones,Quinton Jackson
2011-10-29,Mirko Filipovic,Roy Nelson
2011-12-10,Frank Mir,Antonio Rodrigo Nogueira
2011-12-10,Jared Hamman,Constantinos Philippou
2012-02-25,Quinton Jackson,Ryan Bader
2012-03-02,Court McGee,Constantinos Philippou
2012-07-07,Constantinos Philippou,Riki Fukuda
2012-10-13,Antonio Rodrigo Nogueira,Dave Herman
2012-12-29,Tim Boetsch,Constantinos Philippou
2013-01-26,Quinton Jackson,Glover Teixeira
2013-06-08,Antonio Rodrigo Nogueira,Fabricio Werdum
2013-09-21,Constantinos Philippou,Francis Carmont
2013-12-14,King Green,Pat Healy
2014-04-11,Antonio Rodrigo Nogueira,Roy Nelson
2014-05-10,Constantinos Philippou,Lorenz Larkin
2014-06-14,Ryan Bader,Rafael Cavalcante
2014-06-28,Kelvin Gastelum,Nicholas Musoke
2014-07-26,Josh Thomson,King Green
2014-10-25,William Macario,Neil Magny
2014-11-22,King Green,Edson Barboza
2015-01-24,Nicholas Musoke,Albert Tumenov
2015-03-21,Edimilson Souza,Katsunori Kikuno
2015-04-11,Gabriel Gonzaga,Mirko Filipovic
2015-04-25,Quinton Jackson,Fabio Maldonado
2015-05-09,Dylan Andrews,Brad Scott
2015-05-16,Gegard Mousasi,Constantinos Philippou
2015-05-23,Justin Scoggins,Josh Sampo
2015-08-01,Rafael Cavalcante,Patrick Cummins
2015-08-01,Stefan Struve,Antonio Rodrigo Nogueira
2015-09-05,Clay Collard,Tiago dos Santos e Silva
2015-10-24,Darren Elkins,Robert Whiteford
2015-11-07,Edimilson Souza,Chas Skelly
2016-02-06,Ovince Saint Preux,Rafael Cavalcante
2016-02-27,Brad Scott,Krzysztof Jotko
2016-03-19,Bec Rawlings,Seo Hee Ham
2016-04-10,Robert Whiteford,Lucas Martins
2016-04-16,Rose Namajunas,Tecia Pennington
2016-05-08,Yuta Sasaki,Willie Gates
2016-06-04,Dustin Poirier,King Green
2016-06-18,Valerie Letourneau,Joanne Wood
2016-09-10,Jessica Andrade,Joanne Wood
2016-11-26,Marlon Vera,Guangyou Ning
2017-01-15,Jocelyn Jones-Lybarger,Nina Nunes
2017-02-04,Tecia Pennington,Bec Rawlings
2017-02-11,Wilson Reis,Yuta Sasaki
2017-03-18,Brad Scott,Scott Askham
2017-03-18,Daniel Omielanczuk,Timothy Johnson
2017-04-15,King Green,Rashid Magomedov
2017-04-15,Rose Namajunas,Michelle Waterson-Gomez
2017-05-13,James Vick,Marco Polo Reyes
2017-05-28,Nicholas Musoke,Bojan Velickovic
2017-06-03,Antonio Carlos Junior,Eric Spicely
2017-06-17,Justin Scoggins,Yuta Sasaki
2017-06-25,Carla Esparza,Maryna Moroz
2017-07-07,Tecia Pennington,Juliana Lima
2017-07-16,Joanne Wood,Cynthia Calvillo
2017-08-05,Brad Scott,Jack Hermansson
2017-09-22,Jussier Formiga,Yuta Sasaki
2017-11-11,Angela Hill,Nina Nunes
2017-12-02,Tecia Pennington,Michelle Waterson-Gomez
2017-12-30,Cristiane Justino,Holly Holm
2017-12-30,Myles Jury,Ricky Glenn
2018-01-27,Erik Koch,King Green
2018-02-24,Jessica Andrade,Tecia Pennington
2018-04-14,Michelle Waterson-Gomez,Cortney Casey
2018-06-23,Jenel Lausa,Yuta Sasaki
2018-07-14,Dennis Bermudez,Ricky Glenn
2018-07-28,Alexis Davis,Katlyn Cerminara
2018-07-28,Devin Powell,Alvaro Herrera Mendoza
2018-07-28,Joanna Jedrzejczyk,Tecia Pennington
2018-07-28,Randa Markos,Nina Nunes
2018-08-25,Joanne Wood,Kalindra Faria
2018-09-08,Robert Sanchez,Jarred Brooks
2018-10-06,Michelle Waterson-Gomez,Felice Herrig
2018-11-17,Alexandre Pantoja,Yuta Sasaki
2018-12-08,Claudia Gadelha,Nina Nunes
2018-12-08,Katlyn Cerminara,Jessica Eye
2018-12-15,King Green,Drakkar Klose
2018-12-29,Cristiane Justino,Amanda Nunes
2019-02-17,Aleksandra Albu,Emily Whitmire
2019-02-23,Damir Hadzovic,Marco Polo Reyes
2019-02-23,Veronica Hardy,Gillian Robertson
